City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zatec,50.3272,13.5458,7.97,79,96,2.36,CZ,1729134994
1,lihue,21.9789,-159.3672,27.77,65,20,7.72,US,1729134995
2,waitangi,-43.9535,-176.5597,10.46,80,57,2.68,NZ,1729134997
3,petauke,-14.2426,31.3253,16.12,80,62,3.85,ZM,1729134998
4,ilulissat,69.2167,-51.1,-7.99,62,2,2.57,GL,1729134999
5,anadyr,64.75,177.4833,2.28,80,0,3.0,RU,1729135000
6,enewetak,11.3474,162.3373,28.67,77,100,7.37,MH,1729135001
7,doba,8.65,16.85,21.6,94,81,1.31,TD,1729135002
8,selfoss,63.9331,-20.9971,4.47,93,91,1.84,IS,1729135003
9,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,43,20,8.0,RU,1729135004
10,solleftea,63.1667,17.2667,-1.08,77,100,3.41,SE,1729135005
11,adamstown,-25.066,-130.1015,21.27,84,100,8.21,PN,1729135006
12,port-aux-francais,-49.35,70.2167,2.42,80,92,13.16,TF,1729134725
13,tadine,-21.55,167.8833,21.19,90,99,2.71,NC,1729135010
14,papatowai,-46.5619,169.4708,13.94,52,96,3.81,NZ,1729135011
15,edinburgh of the seven seas,-37.0676,-12.3116,12.71,65,42,1.98,SH,1729135012
16,lebu,-37.6167,-73.65,12.34,95,100,6.26,CL,1729135013
17,broken hill,-31.95,141.4333,34.09,22,100,11.15,AU,1729135014
18,hawaiian paradise park,19.5933,-154.9731,25.73,74,100,2.06,US,1729135015
19,severo-yeniseyskiy,60.3725,93.0408,-11.26,76,76,0.99,RU,1729135016
20,carutapera,-1.195,-46.02,25.84,74,44,3.97,BR,1729135017
21,quellon,-43.1167,-73.6167,9.75,97,100,4.41,CL,1729135018
22,saint-philippe,-21.3585,55.7679,23.2,78,30,1.97,RE,1729135019
23,calchaqui,-29.8877,-60.287,18.83,70,37,3.7,AR,1729135021
24,college,64.8569,-147.8028,-1.63,68,75,3.09,US,1729135022
25,iqaluit,63.7506,-68.5145,-0.15,100,100,7.2,CA,1729135023
26,villa zaragoza,22.0333,-100.7333,11.8,90,9,2.83,MX,1729135024
27,nar'yan-mar,67.6713,53.087,2.28,92,100,6.66,RU,1729135025
28,medina,24.4686,39.6142,26.24,19,0,2.06,SA,1729134967
29,zhigalovo,54.8097,105.1578,-8.82,61,49,5.02,RU,1729135027
30,palmer,42.1584,-72.3287,4.95,83,0,0.0,US,1729134735
31,felida,45.7096,-122.7073,12.77,76,0,2.57,US,1729135029
32,swakopmund,-22.6833,14.5333,11.1,84,1,3.21,NA,1729134915
33,tura,25.5198,90.2201,24.36,77,76,0.66,IN,1729135032
34,la'ie,21.6477,-157.9253,27.66,70,33,4.92,US,1729135033
35,lompoc,34.6391,-120.4579,15.94,88,40,7.15,US,1729135034
